Date,Open,High,Low,Close,Volume,Stock,MA20,Daily_Return,Quantity,Investment_Value
2025-12-19,4031.382686491936,4058.9948966733873,3976.158266129032,3994.56640625,47290300,BBNI,3985.8224853515626,-0.9132391055696298,80,319565.3125
2025-12-22,3985.3623046875,4012.974514650693,3948.546024736576,3985.3623046875,28113800,BBNI,3983.0612670898436,-0.23041553516544022,80,318828.984375
2025-12-23,3948.5458984375,3976.158107517482,3911.72961966419,3948.5458984375,26801700,BBNI,3977.07861328125,-0.9237906979422505,80,315883.671875
2025-12-24,3920.93386933731,3985.3623601480167,3920.93386933731,3930.137939453125,18160600,BBNI,3970.6357666015624,-0.46619589737222356,80,314411.03515625
2025-12-29,3930.137907932622,3976.1582581426055,3920.933837890625,3920.933837890625,24490400,BBNI,3966.493933105469,-0.23419283761273446,80,313674.70703125
2025-12-30,3920.933699898098,4031.3825365149455,3911.729630180027,4022.178466796875,44229200,BBNI,3971.5561645507814,2.5821560141580324,80,321774.27734375
2026-01-02,3994.566398226599,4003.770468268596,3920.933837890625,3920.933837890625,32693200,BBNI,3969.2551513671874,-2.5171590406051214,80,313674.70703125
2026-01-05,3920.933742658466,3930.1378124769135,3874.913393566231,3893.321533203125,48778200,BBNI,3967.4143310546874,-0.7042277638215633,80,311465.72265625
2026-01-06,3893.32156487231,3920.9337745522553,3865.709355192365,3902.525634765625,53908900,BBNI,3966.4939208984374,0.23640743473163361,80,312202.05078125
2026-01-07,3865.70947265625,3902.525753348214,3865.70947265625,3865.70947265625,39295200,BBNI,3961.431689453125,-0.9433932164698233,80,309256.7578125
2026-01-08,3865.7095039712,3930.137995704053,3865.7095039712,3874.91357421875,40059400,BBNI,3957.7500732421877,0.23809605009388335,80,309993.0859375
2026-01-09,3893.32161964526,3902.525689668062,3847.30126953125,3847.30126953125,35407500,BBNI,3951.767431640625,-0.7125914980714687,80,307784.1015625
2026-01-12,3856.5052224109527,3911.7296408702978,3856.5052224109527,3884.117431640625,24965900,BBNI,3947.165393066406,0.9569347324302591,80,310729.39453125
2026-01-13,3911.729775705645,3994.56640625,3902.5257056451615,3994.56640625,76022000,BBNI,3948.546008300781,2.8436054407016798,80,319565.3125
2026-01-14,3994.566468965023,4040.586819989966,3966.9542583500574,4012.974609375,41778700,BBNI,3954.528662109375,0.46083107033088044,80,321037.96875
2026-01-15,4031.3828232550936,4233.8723714551215,4022.178752882365,4178.64794921875,132483000,BBNI,3968.3347778320312,4.1284422646659324,80,334291.8359375
2026-01-19,4178.647714590097,4344.320971996753,4151.035505022322,4252.2802734375,123397300,BBNI,3976.6184326171874,1.7621088235613813,80,340182.421875
2026-01-20,4252.280113170131,4270.688252188184,4197.055696115974,4206.259765625,67785900,BBNI,3984.4418823242186,-1.082254810436034,80,336500.78125
2026-01-21,4206.259829452614,4224.66796875,4141.831341911765,4224.66796875,54281000,BBNI,3994.566357421875,0.4376382855723282,80,337973.4375
2026-01-22,4233.872038398693,4298.300525939542,4224.66796875,4224.66796875,60255300,BBNI,4004.2306274414063,0.0,80,337973.4375
2026-01-23,4224.668000594429,4243.076140030571,4160.239512567935,4233.8720703125,37564400,BBNI,4016.195910644531,0.2178656791630207,80,338709.765625
2026-01-26,4224.668269479512,4233.872339783388,4160.239777352373,4169.44384765625,79139000,BBNI,4025.3999877929687,-1.5217328626439763,80,333555.5078125
2026-01-27,4169.443753255208,4178.647823350694,4114.219332682292,4141.83154296875,40655600,BBNI,4035.0642700195312,-0.6622539047509091,80,331346.5234375
2026-01-28,4031.38275641364,4187.851950155722,3930.137983992293,4086.607177734375,114151800,BBNI,4042.887731933594,-1.3333319972446689,80,326928.57421875
2026-01-29,3966.954203748056,4105.015254922582,3672.4239612424,4068.198974609375,242945800,BBNI,4050.2509887695314,-0.4504519843574917,80,325455.91796875
2026-01-30,4095.8111613046353,4224.668141660287,4077.403021253828,4132.62744140625,167017600,BBNI,4055.7734375,1.583709823412982,80,330610.1953125
2026-02-02,4206.260033637152,4215.464103732639,4022.1786317274314,4141.83154296875,85790700,BBNI,4066.818322753906,0.22271791234507177,80,331346.5234375
2026-02-03,4206.259829452614,4261.484247344772,4031.382506127451,4224.66796875,82653800,BBNI,4083.38564453125,1.9999950486126128,80,337973.4375
2026-02-04,4224.668095302376,4279.892514848812,4206.259955453564,4261.484375,92915700,BBNI,4101.333581542969,0.871462716652105,80,340918.75
2026-02-05,4261.484182679157,4353.5248777694205,4206.259765625,4206.259765625,94551800,BBNI,4118.361096191406,-1.2959007828111546,80,336500.78125
